年,月,日,時分,気温,地中温度,土壌水分,照度,EC
2024,11,26,17:36,19.2,18.3,0.0,323,0.00
2024,11,26,17:37,19.8,15.6,68.9,468,0.12
2024,11,26,17:39,20.0,14.3,69.0,482,0.13
2025,01,21,11:23,13.5,14.3,0.0,11090,0.00
2025,01,21,11:33,12.3,15.1,0.0,6186,0.00
2025,01,21,11:43,10.3,8.5,9.1,17784,0.56
2025,01,21,11:53,9.5,7.4,12.2,62385,0.33
2025,01,21,12:03,11.8,7.3,15.6,110951,0.45
2025,01,21,12:13,10.9,7.1,15.6,53409,0.45
2025,01,21,12:23,9.5,7.1,15.6,24475,0.44
2025,01,21,12:33,10.7,7.1,15.8,28948,0.43
2025,01,21,12:43,11.1,7.2,15.7,77566,0.43
2025,01,21,12:53,10.7,7.2,15.7,30543,0.43
2025,01,21,13:03,11.2,7.3,15.6,72066,0.44
2025,01,21,13:13,11.4,7.3,15.6,17441,0.44
2025,01,21,13:23,12.6,7.3,15.8,37366,0.42
2025,01,21,13:33,11.5,7.4,15.7,23352,0.43
2025,01,21,13:43,10.4,7.5,15.7,26162,0.43
2025,01,21,13:53,12.8,7.5,15.6,41551,0.43
2025,01,21,14:03,10.9,7.5,15.7,16687,0.43
2025,01,21,14:13,10.3,7.6,15.7,30134,0.42
2025,01,21,14:23,10.5,7.6,15.7,14368,0.43
2025,01,21,14:33,9.2,7.6,15.7,7390,0.43
2025,01,21,14:43,9.0,7.6,15.8,21931,0.43
2025,01,21,14:53,9.9,7.7,15.7,44113,0.43
2025,01,21,15:03,11.1,7.8,15.7,36136,0.42
2025,01,21,15:13,10.5,7.8,15.8,9851,0.42
2025,01,21,15:23,9.4,7.8,15.8,9436,0.42
2025,01,21,15:33,9.1,7.8,15.8,22753,0.42
2025,01,21,15:43,9.8,7.8,16.6,16416,0.38
2025,01,21,15:53,9.6,7.8,16.6,11679,0.37
2025,01,21,16:03,8.9,7.8,16.6,6957,0.37
2025,01,21,16:13,8.8,7.9,16.6,10683,0.37
2025,01,21,16:23,8.5,7.9,16.6,8511,0.37
2025,01,21,16:33,8.4,7.9,16.5,7507,0.37
2025,01,21,16:43,7.7,7.9,16.6,3827,0.37
2025,01,21,16:53,6.9,7.9,16.7,2891,0.37
2025,01,21,17:03,6.2,7.9,16.6,1818,0.37
2025,01,21,17:13,5.8,7.9,16.4,786,0.39
2025,01,21,17:23,5.3,7.9,16.7,247,0.37
2025,01,21,17:33,4.6,7.8,16.6,42,0.38
2025,01,21,17:43,4.5,7.8,16.6,16,0.38
2025,01,21,17:53,4.2,7.8,16.6,7,0.38
2025,01,21,18:03,3.8,7.8,16.6,0,0.38
2025,01,21,18:13,3.2,7.8,16.6,0,0.38
2025,01,21,18:23,2.8,7.8,16.6,0,0.38
2025,01,21,18:33,2.4,7.8,16.6,0,0.38
2025,01,21,18:43,2.1,7.7,16.7,0,0.38
2025,01,21,18:53,1.8,7.7,16.7,0,0.38
2025,01,21,19:03,1.6,7.6,16.6,0,0.38
2025,01,21,19:13,1.5,7.6,16.7,0,0.38
2025,01,21,19:23,1.3,7.6,16.7,0,0.38
2025,01,21,19:33,1.1,7.5,16.8,0,0.38
2025,01,21,19:43,1.0,7.5,16.6,0,0.38
2025,01,21,19:53,0.9,7.5,16.7,0,0.38
2025,01,21,20:03,0.6,7.5,16.8,0,0.38
2025,01,21,20:13,0.5,7.4,16.7,0,0.39
2025,01,21,20:23,0.4,7.3,16.8,0,0.38
2025,01,21,20:33,0.4,7.3,16.8,0,0.38
2025,01,21,20:43,0.2,7.3,16.8,0,0.38
2025,01,21,20:53,0.1,7.3,16.9,0,0.38
2025,01,21,21:03,-0.3,7.2,16.7,0,0.39
2025,01,21,21:13,-0.1,7.1,16.9,0,0.38
2025,01,21,21:23,-0.2,7.1,16.9,0,0.38
2025,01,21,21:33,-0.6,7.1,16.8,0,0.39
2025,01,21,21:43,-0.7,7.0,16.8,0,0.38
2025,01,21,21:53,-0.9,7.0,17.0,0,0.38
2025,01,21,22:03,-0.8,7.0,16.9,0,0.39
2025,01,21,22:13,-0.8,7.0,16.8,0,0.38
2025,01,21,22:23,-1.0,6.9,16.9,0,0.39
2025,01,21,22:33,-1.1,6.8,17.0,0,0.38
2025,01,21,22:43,-1.2,6.8,16.9,0,0.39
2025,01,21,22:53,-0.8,6.8,17.1,0,0.37
2025,01,21,23:03,-1.0,6.7,17.0,0,0.39
2025,01,21,23:13,-1.2,6.7,17.0,0,0.38
2025,01,21,23:23,-1.1,6.6,17.0,0,0.38
2025,01,21,23:33,-1.3,6.6,17.1,0,0.38
2025,01,21,23:43,-1.5,6.6,17.1,0,0.38
2025,01,21,23:53,-1.4,6.6,17.2,0,0.38
2025,01,22,00:03,-1.8,6.5,17.2,0,0.38
2025,01,22,00:13,-1.9,6.5,17.2,0,0.37
2025,01,22,00:23,-1.9,6.5,17.2,0,0.38
2025,01,22,00:33,-1.7,6.5,17.2,0,0.38
2025,01,22,00:43,-2.0,6.4,17.3,0,0.37
2025,01,22,00:53,-2.1,6.4,17.1,0,0.39
2025,01,22,01:03,-2.1,6.3,17.4,0,0.37
2025,01,22,01:13,-2.3,6.3,17.3,0,0.37
2025,01,22,01:23,-2.5,6.3,17.4,0,0.38
2025,01,22,01:33,-2.2,6.3,17.3,0,0.38
2025,01,22,01:43,-2.5,6.2,17.3,0,0.38
2025,01,22,01:53,-2.6,6.2,17.3,0,0.38
2025,01,22,02:03,-2.5,6.1,17.4,0,0.37
2025,01,22,02:13,-2.7,6.1,17.3,0,0.37
2025,01,22,02:23,-2.9,6.1,17.5,0,0.37
2025,01,22,02:33,-2.9,6.1,17.5,0,0.37
2025,01,22,02:43,-2.9,6.1,17.4,0,0.38
2025,01,22,02:53,-2.9,6.0,17.6,0,0.37
2025,01,22,03:03,-3.0,6.0,17.5,0,0.37
2025,01,22,03:13,-3.1,6.0,17.5,0,0.37
2025,01,22,03:23,-3.0,6.0,17.6,0,0.37
2025,01,22,03:33,-3.1,6.0,17.7,0,0.36
2025,01,22,03:43,-3.2,5.9,17.7,0,0.37
2025,01,22,03:53,-3.0,5.9,17.6,0,0.37
2025,01,22,04:03,-3.4,5.8,17.7,0,0.37
2025,01,22,04:13,-3.4,5.8,17.5,0,0.37
2025,01,22,04:23,-3.3,5.8,17.6,0,0.37
2025,01,22,04:33,-3.3,5.8,17.8,0,0.36
2025,01,22,04:43,-3.5,5.8,17.8,0,0.35
2025,01,22,04:53,-3.3,5.7,17.7,0,0.37
2025,01,22,05:03,-3.4,5.7,17.7,0,0.36
2025,01,22,05:13,-3.4,5.7,17.8,0,0.36
2025,01,22,05:23,-3.5,5.6,17.8,0,0.36
2025,01,22,05:33,-3.5,5.6,17.8,0,0.36
2025,01,22,05:43,-3.6,5.6,17.7,0,0.37
2025,01,22,05:53,-3.7,5.6,17.9,0,0.36
2025,01,22,06:03,-3.6,5.6,17.8,0,0.36
2025,01,22,06:13,-3.7,5.6,17.8,0,0.36
2025,01,22,06:23,-3.9,5.5,17.9,7,0.36
