年,月,日,時分,気温,地中温度,土壌水分,照度,EC
2024,05,24,15:44,27.1,28.0,0.0,25087,0.00
2024,05,24,15:54,31.2,29.8,0.0,4452,0.00
2024,05,24,16:04,28.3,24.7,8.3,38350,0.55
2024,05,24,16:14,27.0,23.6,8.5,27154,0.58
2024,05,24,16:24,26.3,23.3,8.5,41369,0.59
2024,05,24,16:34,26.3,23.0,8.4,22050,0.63
2024,05,24,16:44,26.6,22.8,8.6,19817,0.62
2024,05,24,16:54,26.5,22.6,8.6,26297,0.61
2024,05,24,17:04,26.2,22.6,8.6,17972,0.63
2024,05,24,17:14,25.9,22.5,8.7,22829,0.63
2024,05,24,17:24,26.2,22.4,8.7,17317,0.62
2024,05,24,17:34,25.7,22.3,8.8,10334,0.62
2024,05,24,17:44,24.9,22.3,8.7,8117,0.63
2024,05,24,17:54,24.2,22.3,8.8,8443,0.62
2024,05,24,18:04,23.7,22.2,8.7,6869,0.64
2024,05,24,18:14,23.5,22.1,8.8,4806,0.62
2024,05,24,18:24,23.0,22.1,8.8,4915,0.63
2024,05,24,18:34,22.4,22.1,8.9,3502,0.63
2024,05,24,18:44,21.7,22.1,8.9,1770,0.62
2024,05,24,18:54,21.1,22.0,8.9,1801,0.64
2024,05,24,19:04,20.4,22.0,9.0,686,0.62
2024,05,24,19:14,19.8,22.0,8.9,153,0.63
2024,05,24,19:24,19.3,21.9,9.0,27,0.62
2024,05,24,19:34,18.8,21.8,8.9,7,0.64
2024,05,24,19:44,18.6,21.8,8.9,0,0.65
2024,05,24,19:54,18.5,21.8,9.0,0,0.62
2024,05,24,20:04,18.2,21.7,9.1,0,0.61
2024,05,24,20:14,18.0,21.6,9.1,0,0.62
2024,05,24,20:24,17.9,21.6,9.0,0,0.62
2024,05,24,20:34,17.7,21.5,9.0,0,0.62
2024,05,24,20:44,17.3,21.5,9.1,0,0.63
2024,05,24,20:54,16.9,21.5,9.2,0,0.61
2024,05,24,21:04,16.8,21.3,9.3,0,0.60
2024,05,24,21:14,16.6,21.3,9.1,0,0.63
2024,05,24,21:24,16.3,21.3,9.2,0,0.62
2024,05,24,21:34,16.3,21.2,9.3,0,0.60
2024,05,24,21:44,16.1,21.1,9.2,0,0.62
2024,05,24,21:54,16.0,21.1,9.2,0,0.62
2024,05,24,22:04,16.1,21.0,9.2,0,0.63
2024,05,24,22:14,16.2,21.0,9.2,0,0.61
2024,05,24,22:24,16.2,20.9,9.1,0,0.63
2024,05,24,22:34,16.1,20.8,9.2,0,0.62
2024,05,24,22:44,16.1,20.8,9.5,0,0.57
2024,05,24,22:54,16.3,20.7,9.2,0,0.62
2024,05,24,23:04,16.4,20.7,9.3,0,0.61
2024,05,24,23:14,16.3,20.6,9.3,0,0.62
2024,05,24,23:24,16.0,20.6,9.4,0,0.60
2024,05,24,23:34,15.9,20.5,9.4,0,0.60
2024,05,24,23:44,15.7,20.5,9.3,0,0.61
2024,05,24,23:54,15.9,20.5,9.3,0,0.61
2024,05,25,00:04,15.8,20.4,9.4,0,0.60
2024,05,25,00:14,15.7,20.3,9.4,0,0.61
2024,05,25,00:24,15.5,20.3,9.5,0,0.60
2024,05,25,00:34,15.3,20.3,9.5,0,0.59
2024,05,25,00:44,15.3,20.2,9.6,0,0.57
2024,05,25,00:54,15.4,20.1,9.6,0,0.59
2024,05,25,01:04,15.3,20.1,9.5,0,0.60
