年,月,日,時分,気温,地中温度,土壌水分,照度,EC
2024,05,13,10:51,21.5,17.1,0.0,29981,0.00
2024,05,13,11:01,16.0,16.1,15.8,35936,0.00
2024,05,13,11:11,16.8,16.1,15.9,47583,0.00
2024,05,13,11:21,17.1,16.1,15.7,52565,0.00
2024,05,13,11:31,17.5,16.1,15.9,54114,0.00
2024,05,13,11:41,18.4,16.1,15.8,69278,0.00
2024,05,13,11:51,19.0,16.1,15.9,74595,0.00
2024,05,13,12:01,19.9,16.1,16.0,85457,0.00
2024,05,13,12:11,19.3,16.1,15.9,56621,0.00
2024,05,13,12:21,19.8,16.2,15.9,63331,0.00
2024,05,13,12:31,19.5,16.3,15.9,64746,0.00
2024,05,13,12:41,19.4,16.3,16.0,61847,0.00
2024,05,13,12:51,19.1,16.3,15.8,61531,0.00
2024,05,13,13:01,19.3,16.4,16.0,71082,0.00
2024,05,13,13:11,19.3,16.5,16.1,81723,0.00
2024,05,13,13:21,19.7,16.5,15.9,84724,0.00
2024,05,13,13:31,20.3,16.6,16.1,86833,0.00
2024,05,13,13:41,20.7,16.7,16.0,69202,0.00
2024,05,13,13:51,21.8,16.8,16.1,116365,0.00
2024,05,13,14:01,21.0,16.8,16.0,46172,0.00
2024,05,13,14:11,21.3,16.9,16.0,106252,0.00
2024,05,13,14:21,19.0,17.0,16.1,68168,0.00
2024,05,13,14:31,21.9,17.0,16.1,101402,0.00
2024,05,13,14:41,20.5,17.1,16.0,24791,0.00
2024,05,13,14:51,21.9,17.2,16.0,62348,0.00
2024,05,13,15:01,21.5,17.3,16.1,94177,0.00
2024,05,13,15:11,20.0,17.4,16.1,39786,0.00
2024,05,13,15:21,20.2,17.5,16.1,70366,0.00
2024,05,13,15:31,19.6,17.5,16.1,26023,0.00
2024,05,13,15:41,20.9,17.6,16.2,72066,0.00
2024,05,13,15:51,19.0,17.7,16.1,17069,0.00
2024,05,13,16:01,19.6,17.8,16.1,21852,0.00
2024,05,13,16:11,19.3,17.9,16.1,25870,0.00
