年,月,日,時分,気温,地中温度,土壌水分,照度,EC
2024,11,26,17:27,19.1,18.1,0.0,323,0.00
2024,11,26,17:29,19.9,15.3,67.4,412,0.14
2025,01,21,14:48,13.7,6.5,18.3,11,1.13
2025,01,21,14:58,7.8,5.5,19.3,5342,1.06
2025,01,21,15:08,7.2,5.3,19.2,4821,1.08
2025,01,21,15:18,7.2,5.3,19.3,3085,1.07
2025,01,21,15:28,7.2,5.3,19.4,3379,1.06
2025,01,21,15:38,6.7,5.3,19.4,3790,1.07
2025,01,21,15:48,6.7,5.3,19.4,4177,1.07
2025,01,21,15:58,7.2,5.3,19.3,2758,1.09
2025,01,21,16:08,6.4,5.3,19.4,2669,1.08
2025,01,21,16:18,6.5,5.3,19.2,3324,1.10
2025,01,21,16:28,6.4,5.3,19.4,2368,1.09
2025,01,21,16:38,6.3,5.3,19.4,1461,1.09
2025,01,21,16:48,6.0,5.3,19.4,1137,1.09
2025,01,21,16:58,5.6,5.3,19.3,756,1.10
2025,01,21,17:08,5.4,5.3,19.3,412,1.10
2025,01,21,17:18,4.9,5.3,19.3,160,1.10
2025,01,21,17:28,4.7,5.3,19.4,37,1.09
2025,01,21,17:38,4.5,5.4,19.4,7,1.09
2025,01,21,17:48,4.4,5.4,19.4,0,1.09
2025,01,21,17:58,4.3,5.4,19.4,0,1.09
2025,01,21,18:08,4.0,5.4,19.3,0,1.10
2025,01,21,18:18,3.6,5.4,19.4,0,1.09
2025,01,21,18:28,3.4,5.3,19.4,0,1.10
2025,01,21,18:38,3.1,5.3,19.3,0,1.11
2025,01,21,18:48,2.8,5.3,19.5,0,1.08
2025,01,21,18:58,2.6,5.3,19.3,0,1.11
2025,01,21,19:08,2.3,5.3,19.5,0,1.09
2025,01,21,19:18,2.3,5.3,19.5,0,1.09
2025,01,21,19:28,2.3,5.3,19.5,0,1.09
2025,01,21,19:38,2.0,5.3,19.6,0,1.08
2025,01,21,19:48,2.0,5.3,19.5,0,1.09
2025,01,21,19:58,1.8,5.2,19.5,0,1.09
2025,01,21,20:08,1.7,5.2,19.4,0,1.11
2025,01,21,20:18,1.5,5.2,19.5,0,1.09
2025,01,21,20:28,1.3,5.1,19.5,0,1.10
2025,01,21,20:38,1.1,5.1,19.4,0,1.11
2025,01,21,20:48,1.0,5.1,19.5,0,1.10
2025,01,21,20:58,0.9,5.1,19.5,0,1.11
2025,01,21,21:08,0.7,5.1,19.5,0,1.10
2025,01,21,21:18,0.6,5.0,19.6,0,1.09
2025,01,21,21:28,0.5,5.0,19.5,0,1.10
2025,01,21,21:38,0.5,5.0,19.7,0,1.09
2025,01,21,21:48,0.4,5.0,19.6,0,1.09
2025,01,21,21:58,0.1,4.9,19.6,0,1.09
2025,01,21,22:08,0.0,4.9,19.7,0,1.08
2025,01,21,22:18,-0.1,4.8,19.6,0,1.10
2025,01,21,22:28,-0.3,4.8,19.8,0,1.08
2025,01,21,22:38,-0.3,4.8,19.8,0,1.08
2025,01,21,22:48,-0.5,4.8,19.7,0,1.09
2025,01,21,22:58,-0.5,4.8,19.7,0,1.09
2025,01,21,23:08,-0.7,4.7,19.8,0,1.08
2025,01,21,23:18,-0.7,4.7,19.6,0,1.10
2025,01,21,23:28,-0.9,4.6,19.8,0,1.08
2025,01,21,23:38,-1.0,4.6,19.8,0,1.08
2025,01,21,23:48,-1.0,4.6,19.8,0,1.08
2025,01,21,23:58,-1.2,4.6,19.9,0,1.08
2025,01,22,00:08,-1.2,4.5,19.8,0,1.09
2025,01,22,00:18,-1.3,4.5,19.8,0,1.08
2025,01,22,00:28,-1.4,4.5,19.9,0,1.08
2025,01,22,00:38,-1.4,4.5,19.9,0,1.08
2025,01,22,00:48,-1.5,4.4,20.0,0,1.07
2025,01,22,00:58,-1.5,4.3,19.9,0,1.08
2025,01,22,01:08,-1.6,4.3,20.0,0,1.07
2025,01,22,01:18,-1.6,4.3,19.9,0,1.08
2025,01,22,01:28,-1.8,4.3,19.9,0,1.09
2025,01,22,01:38,-1.8,4.2,20.0,0,1.08
2025,01,22,01:48,-1.9,4.2,20.0,0,1.08
2025,01,22,01:58,-1.9,4.1,20.1,0,1.07
2025,01,22,02:08,-2.0,4.1,20.0,0,1.08
2025,01,22,02:18,-2.0,4.1,20.0,0,1.07
2025,01,22,02:28,-2.1,4.1,20.2,0,1.06
2025,01,22,02:38,-2.1,4.1,20.0,0,1.08
2025,01,22,02:48,-2.2,4.0,20.2,0,1.06
2025,01,22,02:58,-2.3,4.0,20.1,0,1.07
2025,01,22,03:08,-2.3,4.0,20.0,0,1.08
2025,01,22,03:18,-2.2,4.0,20.1,0,1.07
2025,01,22,03:28,-2.5,4.0,20.1,0,1.07
2025,01,22,03:38,-2.3,3.9,20.2,0,1.07
2025,01,22,03:48,-2.3,3.9,20.3,0,1.05
2025,01,22,03:58,-2.4,3.8,20.2,0,1.06
2025,01,22,04:08,-2.4,3.8,20.2,0,1.06
2025,01,22,04:18,-2.3,3.8,20.3,0,1.05
2025,01,22,04:28,-2.4,3.8,20.2,0,1.06
2025,01,22,04:38,-2.6,3.8,20.3,0,1.06
2025,01,22,04:48,-2.6,3.8,20.2,0,1.07
2025,01,22,04:58,-2.5,3.8,20.2,0,1.07
2025,01,22,05:08,-2.6,3.7,20.3,0,1.06
2025,01,22,05:18,-2.7,3.7,20.3,0,1.06
2025,01,22,05:28,-2.7,3.7,20.3,0,1.06
2025,01,22,05:38,-2.6,3.6,20.2,0,1.07
2025,01,22,05:48,-2.6,3.6,20.3,0,1.06
2025,01,22,05:58,-2.7,3.6,20.3,0,1.06
2025,01,22,06:08,-2.8,3.6,20.3,0,1.07
2025,01,22,06:18,-2.8,3.6,20.4,0,1.05
2025,01,22,06:28,-2.8,3.6,20.3,0,1.07
