�N,��,��,����,�C��,�n�����x,�y�됅��,�Ɠx,EC
2026,01,23,00:03,-1.6,3.3,39.1,0,0.00
2026,01,23,00:13,-1.7,3.3,39.2,0,0.00
2026,01,23,00:23,-2.0,3.3,39.1,0,0.00
2026,01,23,00:33,-2.0,3.3,39.1,0,0.00
2026,01,23,00:43,-2.1,3.3,39.0,0,0.00
2026,01,23,00:53,-1.9,3.3,39.1,0,0.00
2026,01,23,01:03,-1.9,3.3,38.9,0,0.00
2026,01,23,01:13,-1.8,3.2,39.1,0,0.00
2026,01,23,01:23,-1.9,3.2,39.2,0,0.00
2026,01,23,01:33,-2.0,3.2,39.1,0,0.00
2026,01,23,01:43,-1.9,3.2,39.1,0,0.00
2026,01,23,01:53,-1.8,3.2,39.1,0,0.00
2026,01,23,02:03,-1.9,3.2,39.2,0,0.00
2026,01,23,02:13,-1.9,3.2,39.1,0,0.00
2026,01,23,02:23,-1.8,3.2,39.2,0,0.00
2026,01,23,02:33,-1.8,3.2,39.1,0,0.00
2026,01,23,02:43,-1.9,3.1,39.1,0,0.00
2026,01,23,02:53,-1.8,3.1,39.1,0,0.00
2026,01,23,03:03,-1.8,3.1,39.0,0,0.00
2026,01,23,03:13,-1.8,3.1,39.1,0,0.00
2026,01,23,03:23,-1.8,3.1,39.0,0,0.00
2026,01,23,03:33,-1.9,3.1,39.2,0,0.00
2026,01,23,03:43,-2.0,3.1,39.1,0,0.00
2026,01,23,03:53,-1.8,3.1,39.0,0,0.00
2026,01,23,04:03,-1.8,3.1,39.2,0,0.00
2026,01,23,04:13,-2.0,3.1,39.0,0,0.00
2026,01,23,04:23,-2.7,3.1,39.2,0,0.00
2026,01,23,04:33,-2.4,3.1,39.1,0,0.00
2026,01,23,04:43,-2.4,3.1,39.2,0,0.00
2026,01,23,04:53,-2.3,3.1,39.1,0,0.00
2026,01,23,05:03,-2.1,3.1,39.3,0,0.00
2026,01,23,05:13,-2.4,3.1,39.1,0,0.00
2026,01,23,05:23,-2.4,3.1,39.1,0,0.00
2026,01,23,05:33,-2.2,3.1,39.2,0,0.00
2026,01,23,05:43,-2.3,3.1,39.2,0,0.00
2026,01,23,05:53,-2.3,3.0,39.1,0,0.00
2026,01,23,06:03,-2.1,3.0,39.1,0,0.00
2026,01,23,06:13,-2.2,3.0,39.1,0,0.00
2026,01,23,06:23,-2.2,3.0,39.1,0,0.00
2026,01,23,06:33,-2.4,3.0,39.1,0,0.00
2026,01,23,06:43,-2.8,3.0,39.1,33,0.00
2026,01,23,06:53,-2.6,3.0,39.0,157,0.00
2026,01,23,07:03,-2.0,3.0,39.2,492,0.00
2026,01,23,07:13,-1.8,3.0,39.1,817,0.00
2026,01,23,07:23,-1.9,3.0,39.2,1603,0.00
2026,01,23,07:33,-2.0,3.0,39.0,3716,0.00
2026,01,23,07:43,-1.7,3.0,39.2,6027,0.00
2026,01,23,07:53,-1.3,3.0,39.1,3761,0.00
2026,01,23,08:03,-1.3,3.0,39.2,5790,0.00
2026,01,23,08:13,-1.0,3.0,39.1,10254,0.00
2026,01,23,08:23,-0.5,3.0,39.2,11747,0.00
2026,01,23,08:33,-0.3,3.0,39.2,11586,0.00
2026,01,23,08:43,-0.1,2.9,39.0,11048,0.00
2026,01,23,08:53,0.1,2.9,39.1,12474,0.00
2026,01,23,09:03,0.1,2.9,39.2,9827,0.00
2026,01,23,09:13,0.6,2.9,39.2,16975,0.00
2026,01,23,09:23,0.8,2.9,39.1,13209,0.00
2026,01,23,09:33,1.4,2.9,39.2,19745,0.00
2026,01,23,09:43,1.7,2.9,39.1,16644,0.00
2026,01,23,09:53,2.0,2.9,39.1,28366,0.00
2026,01,23,10:03,1.7,2.9,39.1,23422,0.00
2026,01,23,10:13,1.5,2.9,39.1,14973,0.00
2026,01,23,10:23,1.8,2.9,39.0,18359,0.00
2026,01,23,10:33,2.1,2.9,39.2,14528,0.00
2026,01,23,10:43,2.4,2.9,39.0,26429,0.00
2026,01,23,10:53,2.9,2.9,39.1,22619,0.00
2026,01,23,11:03,2.5,2.9,39.1,22867,0.00
2026,01,23,11:13,3.3,2.9,39.1,20388,0.00
2026,01,23,11:23,3.0,2.9,39.2,11421,0.00
2026,01,23,11:33,2.5,2.9,39.1,15915,0.00
2026,01,23,11:43,3.6,2.9,39.2,27063,0.00
2026,01,23,11:53,3.2,2.9,39.0,19317,0.00
2026,01,23,12:03,3.3,2.9,39.2,22198,0.00
2026,01,23,12:13,2.7,2.9,39.2,12161,0.00
2026,01,23,12:23,3.5,2.9,39.2,35508,0.00
2026,01,23,12:33,3.3,2.9,39.0,21400,0.00
2026,01,23,12:43,3.5,3.0,39.1,21306,0.00
2026,01,23,12:53,3.6,3.0,39.2,15070,0.00
2026,01,23,13:03,3.4,3.0,39.1,24534,0.00
2026,01,23,13:13,3.9,3.0,39.1,25953,0.00
2026,01,23,13:23,4.7,3.0,39.2,97171,0.00
2026,01,23,13:33,4.0,3.0,39.1,19985,0.00
2026,01,23,13:43,3.2,3.0,39.1,18148,0.00
2026,01,23,13:53,2.8,3.0,39.1,18605,0.00
2026,01,23,14:03,2.9,3.1,39.1,17541,0.00
2026,01,23,14:13,2.7,3.1,39.0,17545,0.00
2026,01,23,14:23,3.0,3.1,39.0,18198,0.00
2026,01,23,14:33,2.4,3.1,39.1,14933,0.00
2026,01,23,14:43,2.6,3.1,39.1,13122,0.00
2026,01,23,14:53,2.5,3.1,39.2,14156,0.00
2026,01,23,15:03,2.5,3.2,39.0,9916,0.00
2026,01,23,15:13,2.2,3.2,39.1,8038,0.00
2026,01,23,15:23,2.1,3.2,39.2,6225,0.00
2026,01,23,15:33,2.1,3.3,39.2,8537,0.00
2026,01,23,15:43,2.1,3.3,39.0,10247,0.00
2026,01,23,15:53,2.2,3.3,39.0,7657,0.00
2026,01,23,16:03,2.5,3.3,39.1,9969,0.00
2026,01,23,16:13,2.0,3.3,39.0,6534,0.00
2026,01,23,16:23,1.8,3.3,39.1,5285,0.00
2026,01,23,16:33,1.8,3.3,39.1,4225,0.00
2026,01,23,16:43,1.7,3.4,39.2,4195,0.00
2026,01,23,16:53,1.7,3.4,39.1,2460,0.00
2026,01,23,17:03,1.4,3.4,39.1,1668,0.00
2026,01,23,17:13,1.2,3.4,39.2,688,0.00
2026,01,23,17:23,0.7,3.4,39.2,234,0.00
2026,01,23,17:33,0.5,3.5,39.0,59,0.00
2026,01,23,17:43,0.0,3.5,39.2,7,0.00
2026,01,23,17:53,-0.3,3.5,39.2,0,0.00
2026,01,23,18:03,-0.4,3.5,39.0,0,0.00
2026,01,23,18:13,-0.1,3.5,39.1,0,0.00
2026,01,23,18:23,-0.2,3.5,39.0,0,0.00
2026,01,23,18:33,-0.3,3.5,39.1,0,0.00
2026,01,23,18:43,-0.7,3.5,39.1,0,0.00
2026,01,23,18:53,-1.0,3.5,39.1,0,0.00
2026,01,23,19:03,-1.4,3.5,39.0,0,0.00
2026,01,23,19:13,-1.2,3.5,39.0,0,0.00
2026,01,23,19:23,-1.4,3.5,39.1,0,0.00
2026,01,23,19:33,-1.4,3.5,39.1,0,0.00
2026,01,23,19:43,-1.5,3.5,39.0,0,0.00
2026,01,23,19:53,-2.0,3.5,39.1,0,0.00
2026,01,23,20:03,-2.1,3.5,39.0,0,0.00
2026,01,23,20:13,-2.0,3.5,39.1,0,0.00
2026,01,23,20:23,-2.0,3.5,39.2,0,0.00
2026,01,23,20:33,-2.0,3.4,39.1,0,0.00
2026,01,23,20:43,-1.6,3.4,39.0,0,0.00
2026,01,23,20:53,-1.4,3.4,39.1,0,0.00
2026,01,23,21:03,-2.3,3.4,39.1,0,0.00
2026,01,23,21:13,-2.4,3.4,39.1,0,0.00
2026,01,23,21:23,-2.9,3.4,39.1,0,0.00
2026,01,23,21:33,-2.9,3.4,39.1,0,0.00
2026,01,23,21:43,-2.9,3.4,39.1,0,0.00
2026,01,23,21:53,-3.0,3.3,39.1,0,0.00
2026,01,23,22:03,-3.0,3.3,39.0,0,0.00
2026,01,23,22:13,-3.3,3.3,39.0,0,0.00
2026,01,23,22:23,-3.0,3.3,39.1,0,0.00
2026,01,23,22:33,-3.2,3.3,39.2,0,0.00
