年,月,日,時分,気温,地中温度,土壌水分,照度,EC
2024,05,12,15:58,20.6,19.8,0.0,1813,0.00
2024,05,12,16:08,19.1,18.8,17.9,13225,0.16
2024,05,12,16:18,18.8,18.6,17.4,12925,0.18
2024,05,12,16:28,18.9,18.6,17.6,12907,0.17
2024,05,12,16:38,18.8,18.6,17.6,11024,0.16
2024,05,12,16:48,18.8,18.5,17.7,9005,0.16
2024,05,12,16:58,18.8,18.5,17.6,8680,0.18
2024,05,12,17:08,18.9,18.5,17.8,8282,0.17
2024,05,12,17:18,18.9,18.5,17.7,6504,0.18
2024,05,12,17:28,18.8,18.5,17.7,5265,0.18
2024,05,12,17:38,18.8,18.5,17.7,3959,0.18
2024,05,12,17:48,18.8,18.5,17.7,4147,0.18
2024,05,12,17:58,18.8,18.4,17.7,2671,0.18
2024,05,12,18:08,18.7,18.4,17.7,1972,0.18
2024,05,12,18:18,18.6,18.4,17.6,1341,0.18
2024,05,12,18:28,18.7,18.4,17.8,851,0.18
2024,05,12,18:38,18.5,18.3,17.7,499,0.19
2024,05,12,18:48,18.6,18.3,17.7,201,0.18
2024,05,12,18:58,18.5,18.3,17.8,62,0.18
2024,05,12,19:08,18.4,18.3,17.7,25,0.18
2024,05,12,19:28,18.3,18.3,17.8,0,0.18
2024,05,12,19:38,18.2,18.3,17.8,0,0.19
2024,05,12,19:48,18.3,18.3,17.9,0,0.19
2024,05,12,19:58,18.3,18.2,17.7,0,0.19
2024,05,12,20:08,18.4,18.2,17.8,0,0.19
2024,05,12,20:18,18.3,18.2,17.8,0,0.19
2024,05,12,20:28,18.3,18.2,17.8,0,0.19
2024,05,12,20:38,18.3,18.2,17.9,0,0.18
2024,05,12,20:48,18.3,18.1,17.8,0,0.19
2024,05,12,20:58,18.3,18.1,17.8,0,0.19
2024,05,12,21:08,18.3,18.1,17.8,0,0.19
2024,05,12,21:18,18.2,18.1,17.9,0,0.19
2024,05,12,21:28,18.3,18.1,17.9,0,0.19
2024,05,12,21:38,18.3,18.1,17.9,0,0.19
2024,05,12,21:48,18.2,18.1,18.1,0,0.19
2024,05,12,21:58,18.1,18.1,18.0,0,0.19
2024,05,12,22:08,18.1,18.1,18.1,0,0.19
2024,05,12,22:18,18.1,18.1,18.2,0,0.19
2024,05,12,22:28,18.0,18.1,18.1,0,0.20
2024,05,12,22:38,18.0,18.1,18.2,0,0.19
2024,05,12,22:48,17.9,18.0,18.9,0,0.22
2024,05,12,22:58,17.8,18.0,19.1,0,0.25
2024,05,12,23:08,17.8,18.0,19.8,0,0.27
2024,05,12,23:18,17.8,18.0,21.5,0,0.34
2024,05,12,23:28,17.8,18.0,21.7,0,0.35
2024,05,12,23:38,17.8,18.0,21.8,0,0.33
2024,05,12,23:48,17.7,18.0,23.0,0,0.32
2024,05,12,23:58,17.6,18.0,22.9,0,0.29
2024,05,13,00:08,17.5,18.0,22.8,0,0.28
2024,05,13,00:18,17.5,18.0,23.3,0,0.28
2024,05,13,00:28,17.5,18.0,23.4,0,0.26
2024,05,13,00:38,17.5,18.0,23.6,0,0.24
2024,05,13,00:48,17.4,18.0,23.6,0,0.24
2024,05,13,00:58,17.4,18.0,23.5,0,0.23
2024,05,13,01:08,17.3,18.0,23.4,0,0.23
2024,05,13,01:18,17.3,18.0,23.2,0,0.23
2024,05,13,01:28,17.3,18.0,23.3,0,0.23
2024,05,13,01:38,17.3,18.0,23.4,0,0.23
2024,05,13,01:48,17.3,18.0,23.2,0,0.23
2024,05,13,01:57,17.3,17.9,23.4,0,0.24
2024,05,13,02:07,17.3,17.9,23.4,0,0.24
2024,05,13,02:17,17.3,17.9,23.3,0,0.24
2024,05,13,02:27,17.3,17.9,23.4,0,0.25
2024,05,13,02:37,17.3,17.9,23.5,0,0.25
2024,05,13,02:47,17.3,17.9,23.4,0,0.26
2024,05,13,02:57,17.3,17.9,23.4,0,0.26
2024,05,13,03:07,17.4,17.9,23.3,0,0.27
2024,05,13,03:17,17.4,17.9,23.3,0,0.27
2024,05,13,03:27,17.4,17.9,23.3,0,0.26
2024,05,13,03:37,17.5,17.8,23.3,0,0.26
2024,05,13,03:47,17.5,17.8,23.4,0,0.26
2024,05,13,03:57,17.5,17.8,23.5,0,0.28
2024,05,13,04:07,16.0,17.8,23.4,0,0.30
2024,05,13,04:17,15.4,17.8,23.4,0,0.30
2024,05,13,04:27,15.2,17.8,23.4,0,0.30
2024,05,13,04:37,15.0,17.8,23.2,0,0.30
2024,05,13,04:47,14.9,17.8,23.1,16,0.30
2024,05,13,04:57,14.7,17.8,23.2,53,0.29
2024,05,13,05:07,14.7,17.8,23.1,109,0.28
2024,05,13,05:17,14.6,17.8,23.1,340,0.28
2024,05,13,05:27,14.6,17.8,23.0,612,0.28
2024,05,13,05:37,14.5,17.7,22.9,1182,0.29
2024,05,13,05:47,14.6,17.7,22.8,1267,0.29
2024,05,13,05:57,14.6,17.7,22.8,1755,0.29
2024,05,13,06:07,14.6,17.7,22.9,2813,0.29
2024,05,13,06:17,14.6,17.6,22.8,3727,0.29
2024,05,13,06:27,14.6,17.6,22.7,3490,0.29
2024,05,13,06:37,15.1,17.6,22.7,5030,0.29
2024,05,13,06:47,14.6,17.6,22.7,5509,0.29
2024,05,13,06:57,14.7,17.6,22.6,6117,0.29
2024,05,13,07:07,14.9,17.6,22.6,5355,0.29
2024,05,13,07:17,14.8,17.6,22.5,5562,0.29
2024,05,13,07:27,14.9,17.6,22.4,7860,0.30
2024,05,13,07:37,14.9,17.5,22.5,6031,0.29
2024,05,13,07:47,14.8,17.5,22.3,6739,0.30
2024,05,13,07:57,14.9,17.5,22.5,6136,0.29
2024,05,13,08:07,14.7,17.5,22.5,6652,0.29
2024,05,13,08:17,14.6,17.5,22.4,12208,0.30
2024,05,13,08:27,14.5,17.5,22.4,13508,0.30
2024,05,13,08:37,14.7,17.5,22.3,15120,0.30
2024,05,13,08:47,14.7,17.5,22.4,13279,0.30
2024,05,13,08:57,14.8,17.5,22.3,14389,0.30
2024,05,13,09:07,14.9,17.4,22.5,15950,0.30
2024,05,13,09:17,14.8,17.4,22.3,13991,0.30
2024,05,13,09:27,14.8,17.4,22.3,17819,0.31
2024,05,13,09:37,15.0,17.4,22.2,23178,0.31
2024,05,13,09:47,15.1,17.4,22.2,20213,0.31
2024,05,13,09:57,15.3,17.3,22.2,15588,0.31
2024,05,13,10:07,14.9,17.3,22.3,13079,0.31
2024,05,13,10:17,14.6,17.3,22.2,16082,0.32
2024,05,13,10:27,14.8,17.3,22.2,22999,0.32
2024,05,13,10:37,15.1,17.3,22.2,27413,0.32
